# extraction run Tue Aug  4 21:28:40 UTC 2026
hi0 5049ms
hi1 4956ms
hi2 4951ms
hi3 8899ms
hi4 8021ms
hi5 7913ms
hi6 7917ms
hi7 8921ms
hi8 7933ms
hi9 7925ms
hi10 8909ms
hi11 8917ms
hi12 7967ms
hi13 7907ms
hi14 8897ms
hi15 4898ms
lo0 4917ms
lo1 6925ms
lo2 7917ms
lo3 10957ms
lo4 13895ms
lo5 14892ms
lo6 15195ms
lo7 11039ms
lo8 11897ms
lo9 9918ms
lo10 3896ms
lo11 11938ms
lo12 9944ms
lo13 15207ms
lo14 2058ms
lo15 6937ms
cal_sleep0 1897ms
cal_sleep0_2 1926ms
flag_len 15207ms
verify_rstrip 3979ms
verify_exact 3900ms
