byte[0]_hi 10010ms
byte[0]_lo 7972ms
byte[1]_hi 9914ms
byte[1]_lo 15113ms
byte[2]_hi 15174ms
byte[2]_lo 15197ms
byte[3]_hi 15209ms
byte[3]_lo 8202ms
byte[4]_hi 15087ms
byte[4]_lo 10144ms
byte[5]_hi 15087ms
byte[5]_lo 14062ms
byte[6]_hi 9964ms
byte[6]_lo 15085ms
byte[7]_hi 10060ms
byte[7]_lo 7954ms
byte[8]_hi 15102ms
byte[8]_lo 15178ms
byte[9]_hi 15215ms
byte[9]_lo 15170ms
byte[10]_hi 10107ms
byte[10]_lo 11950ms
byte[11]_hi 9896ms
byte[11]_lo 15100ms
byte[12]_hi 15160ms
byte[12]_lo 15151ms
byte[13]_hi 15172ms
byte[13]_lo 15227ms
byte[14]_hi 15183ms
byte[14]_lo 14050ms
byte[15]_hi 15129ms
byte[15]_lo 6164ms
